=== artifact clean run grade: touched fraction vs harm (oracle blink events, 20 ch, 250 Hz, 120 s) ===
err = var(· − clean)/var(clean); gain = errBefore/errAfter; brainLost = non-artifact change inside touched samples / var(clean)

method        blinks/min  touched  errBefore  errAfter   gain    brainLost  removedVar
OBS                3      0.070      0.118      0.105    1.13      0.105    0.197
OBS               10      0.203      0.338      0.083    4.10      0.082    0.301
OBS               20      0.397      0.687      0.144    4.75      0.144    0.547
OBS               35      0.579      1.018      0.226    4.49      0.218    0.659
OBS               50      0.715      1.294      0.274    4.73      0.255    0.718
OBS               70      0.835      1.482      0.251    5.90      0.250    0.835
OBS              100      0.918      1.656      0.284    5.83      0.278    0.868

MAS                3      0.056      0.118      0.018    6.47      0.018    0.098
MAS               10      0.162      0.338      0.041    8.24      0.040    0.256
MAS               20      0.317      0.687      0.083    8.27      0.083    0.448
MAS               35      0.462      1.018      0.122    8.36      0.114    0.550
MAS               50      0.571      1.294      0.177    7.31      0.158    0.618
MAS               70      0.667      1.482      0.185    8.01      0.184    0.703
MAS              100      0.733      1.656      0.211    7.85      0.205    0.728

Wavelet            3      0.056      0.118      0.024    4.95      0.024    0.137
Wavelet           10      0.162      0.338      0.067    5.07      0.066    0.323
Wavelet           20      0.317      0.687      0.154    4.47      0.153    0.564
Wavelet           35      0.462      1.018      0.241    4.22      0.233    0.741
Wavelet           50      0.571      1.294      0.352    3.68      0.333    0.860
Wavelet           70      0.667      1.482      0.363    4.08      0.362    0.962
Wavelet          100      0.733      1.656      0.395    4.20      0.388    1.021

