axis,value,engine,seed,metric_p90,metric_median,truth_p90,truth_median,inband_metric_p90,inband_truth_p90,removed,coverage
baseline,-,FASTR,1,0.95060,0.94712,1231.03672,283.27710,0.98258,534.75610,0.979558,1.0000
baseline,-,Allen IAR,1,0.89205,0.89110,4417.33313,1016.29372,0.41649,281.28134,0.767233,1.0000
baseline,-,Local median,1,0.92116,0.92070,5632.83071,1295.26727,0.95986,194.78455,0.869989,1.0000
baseline,-,FASTR,2,0.95048,0.94711,1277.94420,287.13931,0.98257,554.82019,0.979557,1.0000
baseline,-,Allen IAR,2,0.89316,0.89162,4585.89952,1030.22261,0.41882,291.85022,0.767241,1.0000
baseline,-,Local median,2,0.92112,0.92075,5847.78114,1312.90565,0.96007,202.26393,0.870000,1.0000
clock µs/s,0,FASTR,1,0.91886,0.86845,76.76034,17.78186,0.81214,22.43357,1.002595,1.0000
clock µs/s,0,Allen IAR,1,0.46211,0.45522,836.24752,192.75080,0.14686,699.10067,1.020858,0.9800
clock µs/s,0,Local median,1,0.37394,0.18174,3.79855,1.07135,0.12240,3.14109,1.003519,1.0000
clock µs/s,0,FASTR,2,0.91938,0.87140,79.50396,18.03587,0.81561,23.22590,1.002621,1.0000
clock µs/s,0,Allen IAR,2,0.46109,0.45651,866.13695,195.41884,0.14587,724.16855,1.020856,0.9800
clock µs/s,0,Local median,2,0.36499,0.16732,3.92894,1.09074,0.13139,3.24837,1.003455,1.0000
clock µs/s,500,FASTR,1,0.95829,0.95496,1185.19210,272.72897,0.98209,534.49006,0.978386,1.0000
clock µs/s,500,Allen IAR,1,0.85777,0.85675,4600.02966,1058.28209,0.42064,313.90836,0.752273,1.0000
clock µs/s,500,Local median,1,0.91114,0.90996,4900.43939,1126.89672,0.95613,159.61763,0.856158,1.0000
clock µs/s,500,FASTR,2,0.95851,0.95461,1230.50375,276.37490,0.98224,554.62200,0.978441,1.0000
clock µs/s,500,Allen IAR,2,0.85839,0.85703,4776.09877,1072.49558,0.42011,325.74503,0.751017,1.0000
clock µs/s,500,Local median,2,0.91142,0.91034,5087.56382,1141.83943,0.95667,165.68170,0.856171,1.0000
clock µs/s,1500,FASTR,1,0.96633,0.96200,1089.59937,250.81068,0.98086,560.44552,0.986576,1.0000
