axis,value,seeds,corrected_snr_mean,corrected_snr_sd,uncorrected_snr_mean,uncorrected_snr_sd,clean_distortion_db_mean,clean_distortion_db_sd,removed_variance_mean,accepted_beat_fraction_mean,nearest_source_mm_mean
max-beats,2,30,0.949296,0.045517,1.255144,0.054120,15.117783,0.727028,0.974756,1.000000,15.907357
max-beats,4,30,0.979556,0.066100,1.255144,0.054120,15.058681,0.784572,0.949660,0.833333,15.907357
max-beats,6,30,0.996300,0.088442,1.255144,0.054120,15.116291,0.809140,0.949071,0.683333,15.907357
max-beats,8,30,1.019674,0.135662,1.255144,0.054120,15.114086,0.839725,0.934184,0.533333,15.907357
max-beats,10,30,0.993807,0.063199,1.255144,0.054120,15.194023,0.885359,0.939815,0.490000,15.907357
max-beats,15,30,1.026282,0.107386,1.255144,0.054120,15.224126,0.772852,0.926981,0.393333,15.907357
max-beats,20,30,1.013283,0.071406,1.255144,0.054120,15.131886,0.754807,0.929594,0.336667,15.907357
max-beats,30,30,1.033900,0.067523,1.255144,0.054120,15.153944,0.841740,0.908098,0.336667,15.907357
max-beats,50,30,1.258234,0.268075,1.255144,0.054120,14.969486,0.834242,0.780409,0.446667,15.907357
max-beats,100,30,1.816600,0.667060,1.255144,0.054120,14.551180,0.804293,0.621397,0.444667,15.907357
