axis,value,seeds,corrected_snr_mean,corrected_snr_sd,uncorrected_snr_mean,uncorrected_snr_sd,clean_distortion_db_mean,clean_distortion_db_sd,removed_variance_mean,accepted_beat_fraction_mean,nearest_source_mm_mean
max-beats,2,3,0.952113,0.033077,1.234954,0.038483,14.293740,0.103175,0.964611,1.000000,15.907357
max-beats,4,6,0.941257,0.070389,1.239370,0.040054,14.617098,0.544653,0.969786,0.541667,15.907357
max-beats,6,10,0.966434,0.071036,1.253251,0.046523,15.055403,0.862597,0.964347,0.333333,15.907357
max-beats,8,9,0.942654,0.059725,1.263219,0.042501,15.306446,0.760822,0.961509,0.250000,15.907357
max-beats,10,10,0.973218,0.036843,1.258196,0.043247,15.076304,0.805830,0.930524,0.220000,15.907357
max-beats,15,20,0.968113,0.034889,1.264367,0.055571,15.128709,0.695772,0.964511,0.150000,15.907357
max-beats,20,20,0.962888,0.054130,1.250382,0.046604,15.114114,0.680077,0.969682,0.137500,15.907357
max-beats,30,21,0.968334,0.050104,1.247831,0.057521,15.127652,0.806143,0.974110,0.098413,15.907357
max-beats,50,29,1.052571,0.198636,1.255606,0.055017,15.102035,0.700875,0.895470,0.087586,15.907357
max-beats,100,29,1.056201,0.267362,1.253229,0.054033,14.959116,0.842572,0.903515,0.063448,15.907357
