=== wavelet: brain preservation vs artifact removal (500 Hz, 120 s) ===

--- HARD / continuous-EEG (bior4.4) ---
  threshold  removedVar | preserve K/spin/sharp | remove blink/move/pop/emg
   0.50       0.912     | 0.00/0.01/0.00      | 0.75/0.98/0.99/0.60
   0.75       0.847     | 0.00/0.01/0.01      | 0.81/0.98/0.99/0.77
   1.00       0.803     | 0.00/0.02/0.02      | 0.87/0.98/0.99/0.89
   1.50       0.766     | 0.02/0.04/0.03      | 0.84/0.98/0.99/0.94
   2.00       0.744     | 0.03/0.06/0.05      | 0.80/0.99/0.99/0.93
   3.00       0.705     | 0.05/0.13/0.10      | 0.65/0.99/0.96/0.89
   5.00       0.618     | 0.17/0.25/0.33      | 0.46/0.87/0.89/0.81

--- SOFT / ERP (coif4) ---
  threshold  removedVar | preserve K/spin/sharp | remove blink/move/pop/emg
   0.50       0.800     | 0.14/0.16/0.18      | 0.88/0.95/0.88/0.91
   0.75       0.726     | 0.20/0.22/0.26      | 0.85/0.91/0.81/0.93
   1.00       0.683     | 0.25/0.26/0.33      | 0.81/0.90/0.77/0.93
   1.50       0.631     | 0.34/0.34/0.45      | 0.70/0.86/0.73/0.89
   2.00       0.589     | 0.43/0.38/0.55      | 0.59/0.81/0.69/0.85
   3.00       0.517     | 0.57/0.38/0.71      | 0.36/0.70/0.65/0.77
   5.00       0.415     | 0.76/0.26/0.88      | 0.10/0.60/0.61/0.65
